[2024-12-17 17:21:22.593] [info]  DiscordSplash.signalReady
[2024-12-17 17:21:22.644] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-17 17:21:22.644] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-17 17:21:22.645] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-17 17:21:22.645] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-17 17:21:22.645] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-17 17:21:22.646] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-17 17:21:22.646] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-17 17:21:22.646] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-17 17:21:22.646] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-17 17:21:22.646] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-17 17:21:22.646] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-17 17:21:22.647] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-17 17:21:22.647] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-17 17:21:22.647] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-17 17:21:22.851] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-17 17:21:22.852] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-17 17:21:23.072] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-17 17:21:23.072] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-17 17:21:23.076] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-17 17:21:23.076] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-17 17:21:23.079] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-12-17 17:21:23.080] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-12-17 17:21:23.081] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-17 17:21:23.082] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-17 17:21:23.085] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-12-17 17:21:23.085] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-12-17 17:21:23.087] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-12-17 17:21:23.088] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-12-17 17:21:23.090] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-12-17 17:21:23.090] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-12-17 17:21:23.091] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-12-17 17:21:23.091] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-12-17 17:21:23.091] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2024-12-17 17:21:23.091] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2024-12-17 17:21:23.094] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2024-12-17 17:21:23.094] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2024-12-17 17:21:23.095] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2024-12-17 17:21:23.095] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
